GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SistemaBancario,com.diego.sistema_bancario,Main,4,0,0,0,2,0,2,0,2,0
SistemaBancario,com.diego.sistema_bancario,SistemaBancario,0,36,0,2,0,10,0,4,0,3
SistemaBancario,com.diego.sistema_bancario,ContaBancaria,0,25,0,2,0,7,0,4,0,3
SistemaBancario,com.diego.sistema_bancario,Cliente,0,11,0,0,0,4,0,1,0,1
